seas,wk,team,sck,saf,blk,ints,frcv,tdd,tdret,pts_allow
2000,5,SF,0.0,0,0,0,1,0,0,20.0000
2000,5,ARI,1.0,0,0,0,1,0,0,27.0000
2000,5,SD,2.0,0,0,0,0,0,0,57.0000
2000,5,STL,3.0,0,0,1,0,0,0,31.0000
2000,5,NYG,2.0,0,0,0,1,0,0,28.0000
2000,5,TEN,1.0,0,0,3,1,0,0,14.0000
2000,5,TB,3.0,0,1,0,1,0,0,20.0000
2000,5,WAS,4.0,0,1,1,1,0,0,17.0000
2000,5,ATL,0.0,0,0,2,1,0,0,38.0000
2000,5,PHI,2.0,0,0,1,0,0,0,10.0000
2000,5,SEA,2.0,0,0,0,0,0,0,24.0000
2000,5,KC,6.0,0,0,1,1,0,0,17.0000
2000,6,CLE,1.0,0,0,0,2,0,0,29.0000
2000,6,ARI,1.0,0,0,0,0,0,0,21.0000
2000,6,ATL,0.0,0,0,2,0,0,0,13.0000
2000,6,NYG,4.0,0,0,2,1,0,0,6.0000
2000,6,CAR,3.0,0,0,0,0,0,0,3.0000
2000,6,SEA,2.0,0,0,1,0,0,0,26.0000
2000,6,CHI,2.0,0,0,1,0,1,0,31.0000
2000,6,NO,5.0,0,0,3,0,0,0,10.0000
2000,6,CIN,2.0,0,0,1,1,1,0,23.0000
2000,6,TEN,1.0,0,1,0,2,0,0,14.0000
2000,6,DET,4.0,0,0,3,2,1,0,24.0000
2000,6,GB,3.0,0,0,1,0,0,0,31.0000
2000,6,BUF,1.0,0,0,1,0,0,0,22.0000
2000,6,MIA,6.0,1,0,1,1,1,0,13.0000
2000,6,IND,4.0,0,0,0,0,0,0,24.0000
2000,6,NE,2.0,0,0,3,0,0,0,16.0000
2000,6,NYJ,1.0,0,0,0,0,0,0,20.0000
2000,6,PIT,1.0,0,1,2,2,0,0,3.0000
2000,6,WAS,2.0,0,0,2,1,0,0,14.0000
2000,6,PHI,3.0,0,0,1,1,0,0,17.0000
2000,6,DEN,4.0,0,0,3,0,0,0,7.0000
2000,6,SD,2.0,0,0,0,0,0,0,21.0000
2000,6,OAK,0.0,0,2,0,2,0,0,28.0000
2000,6,SF,1.0,0,0,1,1,0,0,34.0000
2000,6,JAC,2.0,0,0,0,2,0,0,15.0000
2000,6,BAL,3.0,0,0,3,3,0,0,10.0000
2000,6,MIN,2.0,0,0,0,1,0,0,23.0000
2000,6,TB,6.0,0,1,1,1,1,0,30.0000
2000,7,PHI,1.0,0,0,2,1,0,0,14.0000
2000,7,ARI,3.0,0,0,0,0,0,0,33.0000
2000,7,BUF,4.0,0,0,2,1,0,0,24.0000
2000,7,SD,4.0,0,0,1,1,0,0,27.0000
2000,7,DEN,5.0,0,0,3,1,1,0,10.0000
2000,7,CLE,0.0,0,0,0,0,0,0,44.0000
2000,7,GB,2.0,0,0,0,0,0,0,28.0000
2000,7,SF,2.0,0,0,0,0,0,0,31.0000
2000,7,OAK,0.0,0,0,0,1,0,0,17.0000
2000,7,KC,2.0,0,0,0,1,0,0,20.0000
2000,7,NYJ,7.0,0,0,4,2,1,0,17.0000
2000,7,NE,3.0,0,0,0,1,0,0,34.0000
2000,7,NO,8.0,0,0,1,0,0,0,6.0000
2000,7,CAR,1.0,0,0,0,2,0,0,24.0000
2000,7,NYG,2.0,0,0,5,0,0,0,14.0000
2000,7,DAL,2.0,0,0,0,0,0,0,19.0000
2000,7,CIN,1.0,0,0,0,0,0,0,15.0000
2000,7,PIT,4.0,1,0,2,1,0,0,0.0000
2000,7,IND,6.0,0,0,1,2,0,0,24.0000
2000,7,SEA,1.0,0,0,0,1,0,0,37.0000
2000,7,ATL,3.0,0,0,1,0,0,1,45.0000
2000,7,STL,3.0,0,0,1,0,0,0,29.0000
2000,7,WAS,3.0,0,0,1,0,0,0,3.0000
2000,7,BAL,1.0,0,0,1,1,0,0,10.0000
2000,7,CHI,3.0,0,0,0,1,0,0,28.0000
2000,7,MIN,2.0,0,0,0,0,0,0,16.0000
2000,7,JAC,0.0,0,0,0,1,0,0,27.0000
2000,7,TEN,5.0,0,0,0,2,0,0,13.0000
2000,8,DET,0.0,0,0,3,1,0,0,14.0000
2000,8,TB,7.0,0,2,0,0,0,0,28.0000
2000,8,ATL,2.0,0,0,1,0,0,0,21.0000
2000,8,NO,6.0,0,0,0,0,0,0,19.0000
2000,8,BAL,0.0,0,0,1,1,0,0,14.0000
2000,8,TEN,5.0,0,0,4,0,1,0,6.0000
2000,8,SF,3.0,0,0,0,0,0,0,34.0000
2000,8,CAR,3.0,0,0,1,1,1,0,16.0000
2000,8,CIN,2.0,0,0,1,2,0,0,21.0000
2000,8,DEN,2.0,0,0,0,1,0,0,31.0000
2000,8,ARI,1.0,0,0,0,0,0,0,48.0000
2000,8,DAL,1.0,0,0,3,0,0,0,7.0000
2000,8,IND,0.0,0,0,0,1,0,0,23.0000
2000,8,NE,0.0,0,0,0,1,0,0,30.0000
2000,8,WAS,6.0,0,0,2,2,0,0,16.0000
2000,8,JAC,0.0,0,0,1,1,0,0,35.0000
2000,8,KC,4.0,0,1,3,1,0,0,34.0000
2000,8,STL,2.0,0,0,0,0,0,0,54.0000
2000,8,BUF,0.0,0,0,1,0,0,0,31.0000
2000,8,MIN,1.0,0,0,0,1,0,0,27.0000
2000,8,SEA,1.0,0,0,1,0,0,0,31.0000
2000,8,OAK,2.0,0,0,1,2,0,0,3.0000
2000,8,CHI,1.0,0,0,1,1,0,0,13.0000
2000,8,PHI,3.0,0,0,1,0,0,0,9.0000
2000,8,CLE,3.0,0,0,0,0,0,0,22.0000
2000,8,PIT,1.0,0,0,3,1,0,0,0.0000
2000,8,MIA,1.0,0,0,3,0,0,0,40.0000
2000,8,NYJ,2.0,0,0,3,0,0,0,37.0000
2000,9,ARI,2.0,0,0,1,0,0,0,21.0000
2000,9,NO,3.0,0,0,2,2,1,0,10.0000
2000,9,ATL,4.0,0,0,3,1,0,0,12.0000
2000,9,CAR,1.0,0,0,2,1,0,0,13.0000
2000,9,BAL,5.0,0,0,0,1,0,0,9.0000
2000,9,PIT,3.0,0,0,1,2,0,0,6.0000
2000,9,BUF,1.0,0,0,2,2,1,0,20.0000
2000,9,NYJ,1.0,0,1,0,0,0,0,23.0000
2000,9,CLE,3.0,0,0,1,0,0,0,12.0000
2000,9,CIN,2.0,0,0,1,0,0,0,3.0000
2000,9,DAL,0.0,0,1,0,0,0,0,23.0000
2000,9,JAC,2.0,0,0,1,2,0,0,17.0000
2000,9,IND,3.0,1,0,2,2,0,0,18.0000
2000,9,DET,1.0,0,0,2,1,0,0,30.0000
2000,9,MIA,2.0,0,0,1,2,0,0,20.0000
2000,9,GB,1.0,0,0,0,1,0,0,28.0000
2000,9,PHI,3.0,0,0,0,0,0,0,24.0000
2000,9,NYG,4.0,0,0,1,0,0,0,7.0000
2000,9,STL,2.0,0,0,0,1,0,0,24.0000
2000,9,SF,2.0,0,0,1,0,0,0,34.0000
2000,9,SEA,1.0,0,0,3,0,0,0,24.0000
2000,9,KC,3.0,0,0,3,1,0,0,19.0000
2000,9,TB,2.0,0,0,2,1,1,0,13.0000
2000,9,MIN,1.0,0,0,0,0,0,0,41.0000
2000,9,SD,1.0,0,0,1,0,0,0,15.0000
2000,9,OAK,3.0,0,1,1,1,0,0,13.0000
2000,9,WAS,1.0,0,0,0,0,0,0,27.0000
2000,9,TEN,3.0,0,0,3,0,1,0,21.0000
2000,10,ARI,1.0,0,0,2,1,1,0,15.0000
2000,10,WAS,1.0,0,0,1,1,0,0,16.0000
2000,10,ATL,1.0,0,0,1,1,0,0,27.0000
2000,10,TB,4.0,0,1,4,0,0,0,14.0000
2000,10,IND,0.0,0,0,0,0,0,0,27.0000
2000,10,CHI,2.0,0,0,1,1,1,0,24.0000
2000,10,CIN,1.0,0,0,0,0,0,0,27.0000
2000,10,BAL,2.0,0,0,0,1,0,0,7.0000
2000,10,CLE,3.0,0,0,0,1,0,0,24.0000
2000,10,NYG,4.0,0,0,1,0,0,0,3.0000
2000,10,DET,1.0,0,0,0,0,0,0,23.0000
2000,10,MIA,4.0,0,0,1,2,0,0,8.0000
2000,10,NE,1.0,0,0,0,1,0,0,16.0000
2000,10,BUF,3.0,0,0,2,0,0,0,13.0000
2000,10,NO,0.0,0,0,2,0,0,0,15.0000
2000,10,SF,4.0,0,0,0,0,0,0,31.0000
2000,10,NYJ,1.0,0,0,1,0,0,0,30.0000
2000,10,DEN,0.0,0,0,2,1,0,0,23.0000
2000,10,OAK,4.0,0,0,2,1,0,0,31.0000
2000,10,KC,0.0,0,0,0,0,0,0,49.0000
2000,10,DAL,0.0,0,0,2,0,0,0,16.0000
2000,10,PHI,3.0,0,0,1,1,0,0,13.0000
2000,10,SEA,1.0,0,0,1,2,0,0,15.0000
2000,10,SD,1.0,0,0,1,0,0,0,17.0000
2000,10,PIT,1.0,0,0,1,0,0,0,9.0000
2000,10,TEN,2.0,0,0,1,2,0,0,7.0000
2000,10,CAR,5.0,0,0,0,2,0,0,24.0000
2000,10,STL,5.0,0,0,1,0,0,0,27.0000
2000,10,MIN,2.0,0,0,0,0,0,0,26.0000
2000,10,GB,3.0,0,0,4,1,0,0,20.0000
2000,11,BUF,2.0,0,0,3,1,1,0,3.0000
2000,11,CHI,1.0,0,0,1,0,0,0,20.0000
2000,11,NO,8.0,0,0,2,3,1,0,10.0000
2000,11,CAR,2.0,0,0,1,0,0,0,20.0000
2000,11,CLE,4.0,0,0,1,3,0,0,11.0000
2000,11,NE,1.0,0,0,0,0,0,0,19.0000
2000,11,CIN,0.0,0,0,0,1,0,0,23.0000
2000,11,DAL,3.0,0,0,1,1,0,0,6.0000
2000,11,ATL,2.0,0,0,1,0,0,0,13.0000
2000,11,DET,3.0,0,0,2,0,0,0,10.0000
2000,11,SEA,5.0,0,0,0,1,0,0,21.0000
2000,11,JAC,1.0,0,0,0,0,0,0,28.0000
2000,11,MIN,3.0,0,0,0,2,0,0,14.0000
2000,11,ARI,1.0,0,0,1,1,0,0,31.0000
2000,11,NYG,2.0,0,0,1,1,0,0,38.0000
2000,11,STL,3.0,0,0,2,1,0,0,24.0000
2000,11,PHI,3.0,0,0,1,0,0,0,23.0000
2000,11,PIT,3.0,0,0,0,1,1,0,26.0000
2000,11,SD,0.0,0,0,0,0,0,0,17.0000
2000,11,MIA,3.0,0,0,4,0,0,0,7.0000
2000,11,KC,1.0,0,0,0,0,0,0,21.0000
2000,11,SF,3.0,0,0,1,0,0,0,7.0000
2000,11,GB,0.0,0,0,1,0,0,0,20.0000
2000,11,TB,1.0,0,0,0,1,0,0,15.0000
2000,11,BAL,1.0,0,0,0,3,0,0,23.0000
2000,11,TEN,5.0,0,0,1,0,1,0,24.0000
2000,11,NYJ,0.0,0,0,0,1,0,0,23.0000
2000,11,IND,0.0,0,0,2,0,0,0,15.0000
2000,11,DEN,4.0,0,1,2,1,1,0,24.0000
2000,11,OAK,1.0,0,0,1,0,0,0,27.0000
2000,12,BAL,1.0,0,0,3,0,0,0,0.0000
